,Input_0,Cortex_0,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,D1_0,D1_1,D1_2,D1_3,D2_0,D2_1,D2_2,D2_3,SNc_0,SNc_1,SNc_2,GPe_0,GPe_1,GPe_2,STN_0,STN_1,STN_2,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
Input_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_0,-2.262361,1.410670,0.780636,-0.585465,-0.096452,1.046096,0.121458,-0.336843,0.287598,-0.204571,0.447747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010396,0.133478,0.278000,0.089023,0.053842,0.023288,0.047977,0.477451,0.020715,0.013421,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_1,0.439775,-0.412215,1.184233,-0.464693,-0.480022,0.359827,0.633341,-0.106653,0.092537,0.850120,-0.006930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046428,0.274798,0.050866,0.334610,0.048116,0.363329,0.058116,0.489076,0.050751,0.046188,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_2,2.294307,-0.545942,-0.538934,0.018892,-0.351873,-0.667610,-0.007199,0.064626,-0.345224,0.472207,-1.436906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.061217,0.064075,0.684525,0.007986,0.556688,0.027070,0.570421,0.008248,0.017161,0.114712,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_3,-2.037920,-0.496029,-0.181488,-0.353801,-0.259743,0.517587,0.343627,0.143786,0.210231,0.281445,-0.451002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100398,0.007276,0.278204,0.027851,0.423172,0.348824,0.678334,0.230060,0.150159,0.021765,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_4,-3.742641,0.372102,-0.728991,0.163548,0.224095,0.929961,0.297632,-0.129758,0.444558,-0.848741,0.917989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037660,0.304799,0.038535,0.875317,0.026388,0.017220,0.034714,0.440608,0.027610,0.130510,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_5,2.093972,-0.330603,-0.135745,-0.400077,0.010154,-0.283365,0.925930,-0.531379,0.096211,0.372723,-0.015002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.147243,0.071913,0.005746,0.023190,0.207599,0.106383,0.002237,0.601341,0.918148,0.135751,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_6,1.513093,-0.660264,-0.249327,0.291881,-0.211965,-0.402803,-0.875222,0.479297,-0.206428,0.239878,0.624114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.954160,0.027768,0.714354,0.020433,0.468472,0.636239,0.341940,0.083435,0.354136,0.097891,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_7,-1.710924,-0.275938,0.181597,-0.603764,-0.109692,0.329668,-0.769570,0.161351,-0.477619,-0.864174,0.231755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150423,0.140778,0.173846,0.257397,0.226853,0.172801,0.704627,0.707228,0.233369,0.012945,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_8,2.222406,-0.410063,0.289322,0.664543,0.272052,-0.910116,-0.168497,0.626316,0.413418,0.612261,-0.107374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285571,0.134992,0.223117,0.012976,0.100159,0.409386,0.067232,0.005833,0.002401,0.084688,0.000000,0.000000,0.000000,0.000000,0.000000
