,Input_0,Input_1,Adenosine_0,cU_0,cU_1,cU_2,cU_3,cU_4,cU_5,cU_6,cU_7,cU_8,cU_9,cL_0,cL_1,cL_2,cL_3,cL_4,cL_5,cL_6,cL_7,cL_8,cL_9,cI_0,cI_1,cI_2,cI_3,cI_4,cI_5,cI_6,cI_7,cI_8,cI_9,cI_10,cI_11,cI_12,cI_13,cI_14,cI_15,cI_16,cI_17,cI_18,cI_19,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,SNc_0,SNc_1,SNc_2,SNc_3,SNc_4,SNc_5,GPe_0,GPe_1,GPe_2,GPe_3,GPe_4,GPe_5,STN_0,STN_1,STN_2,STN_3,STN_4,STN_5,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,SNr_6,SNr_7,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Thalamus_10,Thalamus_11,Thalamus_12,Thalamus_13,Thalamus_14,Thalamus_15,Thalamus_16,Thalamus_17,Thalamus_18,Thalamus_19,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
Input_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Input_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Adenosine_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_0,0.765688,0.999496,0.000000,0.000000,0.553692,0.331611,0.324430,0.296596,0.606631,0.592334,0.583776,0.295642,0.596609,0.336778,0.490558,0.506587,0.438319,0.415296,0.407335,0.434485,0.480983,0.361272,0.571782,-0.434545,-0.488457,-0.548391,-0.502474,-0.423359,-0.417410,-0.371231,-0.562082,-0.594393,-0.474991,-0.565152,-0.485698,-0.414305,-0.342459,-0.379445,-0.475448,-0.550172,-0.477052,-0.497704,-0.454499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.465411,0.472058,0.523976,0.467616,0.523985,0.534074,0.472810,0.514669,0.517963,0.464384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_1,0.974235,0.062173,0.000000,0.527846,0.000000,0.296899,0.287184,0.270866,0.597163,0.546885,0.540604,0.282702,0.539995,0.226709,0.367501,0.331105,0.276538,0.250549,0.233429,0.259319,0.307039,0.222665,0.392360,-0.610960,-0.515618,-0.586927,-0.610343,-0.585205,-0.514899,-0.481566,-0.592864,-0.640765,-0.495830,-0.567539,-0.502613,-0.506611,-0.454921,-0.486966,-0.585850,-0.534179,-0.500586,-0.508951,-0.441081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.402488,0.388915,0.471029,0.408255,0.481460,0.486597,0.413107,0.479447,0.489428,0.407451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_2,0.000102,0.999996,0.000000,0.443194,0.474317,0.000000,0.473212,0.548155,0.495968,0.454528,0.486706,0.525744,0.452343,0.248152,0.316693,0.302961,0.347726,0.332750,0.307888,0.325506,0.286975,0.283592,0.245335,-0.647358,-0.542264,-0.446792,-0.577521,-0.616582,-0.707590,-0.686896,-0.450899,-0.622040,-0.546481,-0.479426,-0.554858,-0.704615,-0.545474,-0.644181,-0.584783,-0.446899,-0.537224,-0.567536,-0.399807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.406032,0.406412,0.388492,0.417738,0.399956,0.389813,0.408790,0.387457,0.405484,0.405177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_3,0.000813,0.999987,0.000000,0.453631,0.453975,0.439080,0.000000,0.449767,0.480206,0.449880,0.462722,0.405796,0.447684,0.230605,0.288145,0.273349,0.318922,0.295616,0.247869,0.280930,0.317382,0.274386,0.248578,-0.665384,-0.564991,-0.544598,-0.589227,-0.643989,-0.689541,-0.676084,-0.535363,-0.627901,-0.569532,-0.563734,-0.577035,-0.684602,-0.565659,-0.627947,-0.599415,-0.537127,-0.563587,-0.591565,-0.513638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379824,0.367991,0.358466,0.377422,0.350498,0.347432,0.384540,0.350638,0.355899,0.373092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_4,0.000461,0.999999,0.000000,0.483846,0.482652,0.568851,0.414534,0.000000,0.489661,0.469942,0.480466,0.494466,0.436061,0.200914,0.364313,0.395896,0.325396,0.331193,0.300751,0.333522,0.362215,0.305750,0.276085,-0.766492,-0.549662,-0.405422,-0.566541,-0.802754,-0.779997,-0.675496,-0.431367,-0.710637,-0.553646,-0.431242,-0.544712,-0.789060,-0.695997,-0.680492,-0.567164,-0.371657,-0.553695,-0.548673,-0.293017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.578626,0.581223,0.408664,0.587947,0.400271,0.401986,0.566698,0.420601,0.430862,0.561943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_5,0.866069,0.990485,0.000000,0.771973,0.770581,0.598868,0.618267,0.610432,0.000000,0.798229,0.760532,0.590913,0.792698,0.642532,0.674158,0.691983,0.635506,0.630466,0.646189,0.626764,0.676256,0.611098,0.780630,-0.271250,-0.280528,-0.310272,-0.313041,-0.276916,-0.250839,-0.227170,-0.317924,-0.337837,-0.270001,-0.321184,-0.275952,-0.247469,-0.201834,-0.240390,-0.290910,-0.309673,-0.275972,-0.283235,-0.266399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713864,0.715310,0.719866,0.706507,0.722893,0.731166,0.715196,0.718238,0.716994,0.717548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cU_6,0.951813,0.999409,0.000000,0.574722,0.593811,0.309317,0.346371,0.304477,0.624546,0.000000,0.585947,0.289077,0.564880,0.294381,0.453290,0.452301,0.397456,0.352011,0.336772,0.391175,0.450264,0.302211,0.520958,-0.505765,-0.477041,-0.567404,-0.506098,-0.484213,-0.415144,-0.380696,-0.572089,-0.593123,-0.469576,-0.583087,-0.475581,-0.411123,-0.343833,-0.391644,-0.486983,-0.569472,-0.475869,-0.478642,-0.473422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.464775,0.458911,0.539259,0.469150,0.535455,0.530960,0.475698,0.521523,0.528654,0.477064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
