[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=40000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042_40k
step 200, loss: 0.137080, sup_loss: 0.137080, acc: 0.5000, in_window: 0.2485, off_window: 0.2501, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.107692, sup_loss: 0.107692, acc: 0.4992, in_window: 0.3876, off_window: 0.3889, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.105770, sup_loss: 0.105770, acc: 0.4995, in_window: 0.4175, off_window: 0.4168, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.105833, sup_loss: 0.105833, acc: 0.4996, in_window: 0.4225, off_window: 0.4224, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.106032, sup_loss: 0.106032, acc: 0.4997, in_window: 0.4221, off_window: 0.4228, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.105505, sup_loss: 0.105505, acc: 0.4999, in_window: 0.4244, off_window: 0.4235, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.105806, sup_loss: 0.105806, acc: 0.4999, in_window: 0.4239, off_window: 0.4240, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.105679, sup_loss: 0.105679, acc: 0.4999, in_window: 0.4248, off_window: 0.4246, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.105652, sup_loss: 0.105652, acc: 0.4999, in_window: 0.4258, off_window: 0.4255, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.101090, sup_loss: 0.101090, acc: 0.5071, in_window: 0.4668, off_window: 0.4464, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.105445, sup_loss: 0.105445, acc: 0.5000, in_window: 0.4253, off_window: 0.4244, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2400, loss: 0.105511, sup_loss: 0.105511, acc: 0.5000, in_window: 0.4251, off_window: 0.4244, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2600, loss: 0.105638, sup_loss: 0.105638, acc: 0.5000, in_window: 0.4250, off_window: 0.4247, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2800, loss: 0.105600, sup_loss: 0.105600, acc: 0.5000, in_window: 0.4253, off_window: 0.4249, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3000, loss: 0.105316, sup_loss: 0.105316, acc: 0.5000, in_window: 0.4260, off_window: 0.4247, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3200, loss: 0.105164, sup_loss: 0.105164, acc: 0.5000, in_window: 0.4263, off_window: 0.4246, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
