[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042
step 200, loss: 0.145339, sup_loss: 0.145339, acc: 0.5000, in_window: 0.2259, off_window: 0.2263, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.108591, sup_loss: 0.108591, acc: 0.4999, in_window: 0.3735, off_window: 0.3744, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.105803, sup_loss: 0.105803, acc: 0.4997, in_window: 0.4147, off_window: 0.4147, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.105787, sup_loss: 0.105787, acc: 0.4997, in_window: 0.4224, off_window: 0.4227, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.105847, sup_loss: 0.105847, acc: 0.4998, in_window: 0.4236, off_window: 0.4241, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.105622, sup_loss: 0.105622, acc: 0.4999, in_window: 0.4246, off_window: 0.4245, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.105725, sup_loss: 0.105725, acc: 0.4999, in_window: 0.4245, off_window: 0.4247, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.105678, sup_loss: 0.105678, acc: 0.4999, in_window: 0.4246, off_window: 0.4247, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.105657, sup_loss: 0.105657, acc: 0.4999, in_window: 0.4249, off_window: 0.4249, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.105646, sup_loss: 0.105646, acc: 0.5000, in_window: 0.4249, off_window: 0.4249, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.105570, sup_loss: 0.105570, acc: 0.5000, in_window: 0.4251, off_window: 0.4249, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
