[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/seed042
step 200, loss: 0.043799, sup_loss: 0.043799, acc: 0.7402, in_window: 0.5739, off_window: 0.4265, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.037480, sup_loss: 0.037480, acc: 0.7920, in_window: 0.5977, off_window: 0.3979, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.036383, sup_loss: 0.036383, acc: 0.7975, in_window: 0.6035, off_window: 0.3961, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.035474, sup_loss: 0.035474, acc: 0.8035, in_window: 0.6081, off_window: 0.3918, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.035331, sup_loss: 0.035331, acc: 0.8049, in_window: 0.6093, off_window: 0.3913, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.035085, sup_loss: 0.035085, acc: 0.8069, in_window: 0.6088, off_window: 0.3894, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.034977, sup_loss: 0.034977, acc: 0.8070, in_window: 0.6102, off_window: 0.3897, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.035114, sup_loss: 0.035114, acc: 0.8071, in_window: 0.6080, off_window: 0.3885, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.034874, sup_loss: 0.034874, acc: 0.8083, in_window: 0.6092, off_window: 0.3881, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.034038, sup_loss: 0.034038, acc: 0.8076, in_window: 0.6154, off_window: 0.3886, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.001978, sup_loss: 0.001978, acc: 0.9919, in_window: 0.7392, off_window: 0.2565, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2400, loss: 0.001694, sup_loss: 0.001694, acc: 0.9928, in_window: 0.7425, off_window: 0.2563, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
