,Input_0,Adenosine_0,Cortex_0,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Cortex_28,Cortex_29,Cortex_30,Cortex_31,Cortex_32,Cortex_33,Cortex_34,Cortex_35,Cortex_36,Cortex_37,Cortex_38,Cortex_39,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,SNc_0,SNc_1,SNc_2,SNc_3,SNc_4,SNc_5,GPe_0,GPe_1,GPe_2,GPe_3,GPe_4,GPe_5,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,SNr_6,SNr_7,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Thalamus_10,Thalamus_11,Thalamus_12,Thalamus_13,Thalamus_14,Thalamus_15,Thalamus_16,Thalamus_17,Thalamus_18,Thalamus_19,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
Input_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Adenosine_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_0,-0.024639,0.000000,0.000000,0.023859,0.110960,0.003926,0.000000,0.000000,0.061522,0.025103,0.019635,0.001302,0.106637,0.042135,0.050231,0.025078,0.063253,0.000000,0.044097,0.103672,0.042324,0.042176,-0.000000,-0.055131,-0.041384,-0.066460,-0.000000,-0.000000,-0.061771,-0.000000,-0.054351,-0.061422,-0.081359,-0.047281,-0.046636,-0.048186,-0.000000,-0.053994,-0.058562,-0.000000,-0.000000,-0.048581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100956,0.037650,0.066329,0.053603,0.028454,0.053562,0.019540,0.069723,0.078708,0.037453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_1,0.751615,0.000000,0.169847,0.000000,0.000000,0.102788,0.000000,0.094248,0.000000,0.124948,0.049395,0.000000,0.000000,0.136617,0.101990,0.048830,0.123053,0.015135,0.013226,0.105727,0.037426,0.128835,-0.000000,-0.096154,-0.000000,-0.000000,-0.077018,-0.076488,-0.000000,-0.063786,-0.000000,-0.074743,-0.070303,-0.000000,-0.064224,-0.090241,-0.000000,-0.083800,-0.000000,-0.000000,-0.065025,-0.081116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062249,0.098899,0.031472,0.097683,0.090797,0.044504,0.043557,0.024749,0.000000,0.066050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_2,0.973836,0.000000,0.000000,0.107955,0.000000,0.072093,0.030008,0.068888,0.041079,0.183971,0.029109,0.000000,0.115660,0.097444,0.213774,0.000000,0.000000,0.005663,0.085382,0.139565,0.157259,0.040975,-0.000000,-0.090134,-0.072993,-0.000000,-0.093140,-0.000000,-0.000000,-0.089720,-0.062062,-0.000000,-0.075715,-0.093194,-0.000000,-0.000000,-0.000000,-0.088653,-0.066794,-0.000000,-0.090674,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043612,0.038146,0.031631,0.038930,0.100640,0.068019,0.056307,0.041724,0.114749,0.073986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_3,0.480636,0.000000,0.131245,0.000000,0.071902,0.000000,0.034348,0.031308,0.000000,0.036272,0.205999,0.048193,0.035861,0.030298,0.050634,0.000000,0.000000,0.015815,0.122750,0.040627,0.003397,0.141541,-0.077462,-0.082109,-0.063447,-0.084183,-0.103154,-0.073632,-0.071059,-0.084814,-0.000000,-0.000000,-0.000000,-0.074326,-0.000000,-0.076510,-0.076996,-0.075700,-0.080918,-0.080023,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022223,0.090035,0.053555,0.029829,0.097373,0.029962,0.033222,0.024421,0.100867,0.035243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_4,1.442609,0.000000,0.000000,0.000000,0.000000,0.012139,0.000000,0.174917,0.022086,0.086475,0.000000,0.213003,0.117954,0.273037,0.000000,0.052916,0.068487,0.000000,0.203455,0.000000,0.108797,0.109922,-0.097826,-0.000000,-0.072506,-0.086402,-0.000000,-0.000000,-0.000000,-0.000000,-0.069230,-0.086550,-0.081834,-0.090068,-0.091368,-0.112590,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035599,0.032283,0.000000,0.069861,0.096743,0.037901,0.033793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_5,0.544170,0.000000,0.000000,0.083860,0.016555,0.030646,0.043738,0.000000,0.026773,0.062367,0.083400,0.010744,0.000000,0.074540,0.000000,0.045915,0.000000,0.046959,0.000000,0.077629,0.067734,0.195122,-0.000000,-0.000000,-0.059451,-0.066639,-0.088861,-0.056827,-0.060164,-0.056346,-0.063213,-0.000000,-0.072306,-0.000000,-0.081741,-0.066055,-0.000000,-0.061320,-0.074462,-0.083984,-0.057676,-0.059387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047932,0.000000,0.039669,0.042055,0.071498,0.084200,0.091454,0.036230,0.047273,0.036652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_6,0.931797,0.000000,0.037529,0.005473,0.043069,0.010234,0.017652,0.166243,0.000000,0.078827,0.108096,0.000000,0.000000,0.115739,0.000000,0.039345,0.008797,0.037386,0.018863,0.248224,0.072559,0.046789,-0.061336,-0.063973,-0.074861,-0.064124,-0.078149,-0.000000,-0.056344,-0.062915,-0.066479,-0.066826,-0.000000,-0.055537,-0.052145,-0.057365,-0.049209,-0.060630,-0.062986,-0.069489,-0.051757,-0.055720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087651,0.053707,0.043622,0.050580,0.059063,0.024639,0.082367,0.046494,0.039159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_7,1.452684,0.000000,0.189080,0.185046,0.227699,0.060042,0.166490,0.000000,0.018052,0.000000,0.007182,0.149613,0.110662,0.000000,0.012643,0.000000,0.000000,0.029484,0.087060,0.010961,0.038515,0.191820,-0.076227,-0.100057,-0.000000,-0.000000,-0.078516,-0.000000,-0.078946,-0.066234,-0.066506,-0.071954,-0.000000,-0.070275,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.080041,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030271,0.058556,0.035860,0.049692,0.066451,0.066614,0.059307,0.000000,0.034730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
