[init=scratch] building fresh params from init_params (no Pavlovian bootstrap)
[balanced_init] cortico-thalamic loop rho(M): 1.706 -> 1.000 (target 1.0, tau=7.0)
Hybrid batch: inputs (100, 1000, 2) (2 cue channels: preparatory + go)
Training 10000 iters -> params_hybrid_scratch.pkl
step 200, loss: 157.926865, reward: 0.0000, log_reward: -157.6569, success: 0.0000, entropy: 0.5202, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.2147, tail: 0.1073, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 131.918060, reward: 0.0000, log_reward: -131.6914, success: 0.0000, entropy: 0.4757, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.1828, tail: 0.0914, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 109.883484, reward: 0.0000, log_reward: -109.6944, success: 0.0000, entropy: 0.4309, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.1548, tail: 0.0774, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 91.286499, reward: 0.0000, log_reward: -91.1296, success: 0.0000, entropy: 0.3871, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.1304, tail: 0.0652, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 75.659637, reward: 0.0000, log_reward: -75.5301, success: 0.0000, entropy: 0.3452, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.1093, tail: 0.0547, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 62.581936, reward: 0.0000, log_reward: -62.4755, success: 0.0000, entropy: 0.3056, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.0913, tail: 0.0457, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 51.676090, reward: 0.0000, log_reward: -51.5889, success: 0.0000, entropy: 0.2690, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.0760, tail: 0.0380, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 42.609974, reward: 0.0000, log_reward: -42.5388, success: 0.0000, entropy: 0.2355, brevity: 0.0000, norm_resp_time: 0.000, silence: 0.0631, tail: 0.0316, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 35.094501, reward: 0.0000, log_reward: -35.0364, success: 0.0000, entropy: 0.2052, brevity: 0.0002, norm_resp_time: 0.000, silence: 0.0523, tail: 0.0261, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 28.888451, reward: 0.0000, log_reward: -28.8335, success: 0.0000, entropy: 0.1781, brevity: 0.0080, norm_resp_time: 0.008, silence: 0.0432, tail: 0.0216, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 23.804745, reward: 0.0000, log_reward: -23.7188, success: 0.0000, entropy: 0.1539, brevity: 0.0478, norm_resp_time: 0.048, silence: 0.0357, tail: 0.0178, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2400, loss: 19.663942, reward: 0.0000, log_reward: -19.5138, success: 0.0000, entropy: 0.1326, brevity: 0.1193, norm_resp_time: 0.119, silence: 0.0294, tail: 0.0147, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2600, loss: 16.310263, reward: 0.0000, log_reward: -16.0679, success: 0.0000, entropy: 0.1140, brevity: 0.2174, norm_resp_time: 0.217, silence: 0.0242, tail: 0.0121, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2800, loss: 13.586374, reward: 0.0000, log_reward: -13.2538, success: 0.0000, entropy: 0.0977, brevity: 0.3125, norm_resp_time: 0.313, silence: 0.0199, tail: 0.0100, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3000, loss: 11.308212, reward: 0.0001, log_reward: -10.9505, success: 0.0001, entropy: 0.0839, brevity: 0.3415, norm_resp_time: 0.342, silence: 0.0164, tail: 0.0082, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3200, loss: 9.284485, reward: 0.0005, log_reward: -8.9566, success: 0.0005, entropy: 0.0783, brevity: 0.3136, norm_resp_time: 0.314, silence: 0.0134, tail: 0.0087, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3400, loss: 7.519784, reward: 0.0019, log_reward: -7.2762, success: 0.0019, entropy: 0.0808, brevity: 0.2291, norm_resp_time: 0.229, silence: 0.0110, tail: 0.0115, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3600, loss: 6.087174, reward: 0.0053, log_reward: -5.9328, success: 0.0053, entropy: 0.0816, brevity: 0.1414, norm_resp_time: 0.141, silence: 0.0090, tail: 0.0120, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3800, loss: 4.957629, reward: 0.0127, log_reward: -4.8579, success: 0.0127, entropy: 0.0680, brevity: 0.0934, norm_resp_time: 0.093, silence: 0.0074, tail: 0.0057, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4000, loss: 4.056263, reward: 0.0263, log_reward: -3.9799, success: 0.0263, entropy: 0.0635, brevity: 0.0727, norm_resp_time: 0.073, silence: 0.0061, tail: 0.0040, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4200, loss: 3.324089, reward: 0.0485, log_reward: -3.2605, success: 0.0485, entropy: 0.0607, brevity: 0.0616, norm_resp_time: 0.062, silence: 0.0050, tail: 0.0031, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4400, loss: 2.725802, reward: 0.0812, log_reward: -2.6710, success: 0.0812, entropy: 0.0595, brevity: 0.0542, norm_resp_time: 0.054, silence: 0.0041, tail: 0.0025, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4600, loss: 2.235727, reward: 0.1250, log_reward: -2.1879, success: 0.1250, entropy: 0.0593, brevity: 0.0483, norm_resp_time: 0.048, silence: 0.0033, tail: 0.0021, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 1.834144, reward: 0.1793, log_reward: -1.7921, success: 0.1793, entropy: 0.0595, brevity: 0.0435, norm_resp_time: 0.043, silence: 0.0027, tail: 0.0018, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 1.505100, reward: 0.2422, log_reward: -1.4678, success: 0.2422, entropy: 0.0595, brevity: 0.0394, norm_resp_time: 0.039, silence: 0.0022, tail: 0.0016, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 1.235371, reward: 0.3108, log_reward: -1.2021, success: 0.3108, entropy: 0.0585, brevity: 0.0359, norm_resp_time: 0.036, silence: 0.0018, tail: 0.0013, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 1.014576, reward: 0.3821, log_reward: -0.9846, success: 0.3821, entropy: 0.0572, brevity: 0.0330, norm_resp_time: 0.033, silence: 0.0015, tail: 0.0012, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5600, loss: 0.848316, reward: 0.4469, log_reward: -0.8213, success: 0.4469, entropy: 0.0611, brevity: 0.0310, norm_resp_time: 0.031, silence: 0.0013, tail: 0.0009, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 0.726706, reward: 0.5016, log_reward: -0.7014, success: 0.5016, entropy: 0.0602, brevity: 0.0293, norm_resp_time: 0.029, silence: 0.0011, tail: 0.0009, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 0.632426, reward: 0.5488, log_reward: -0.6087, success: 0.5488, entropy: 0.0587, brevity: 0.0279, norm_resp_time: 0.028, silence: 0.0009, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 0.556435, reward: 0.5901, log_reward: -0.5342, success: 0.5901, entropy: 0.0559, brevity: 0.0265, norm_resp_time: 0.026, silence: 0.0008, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 0.493488, reward: 0.6266, log_reward: -0.4727, success: 0.6266, entropy: 0.0557, brevity: 0.0250, norm_resp_time: 0.025, silence: 0.0007, tail: 0.0006, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 0.440442, reward: 0.6591, log_reward: -0.4211, success: 0.6591, entropy: 0.0543, brevity: 0.0236, norm_resp_time: 0.024, silence: 0.0006, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 0.395087, reward: 0.6882, log_reward: -0.3770, success: 0.6882, entropy: 0.0536, brevity: 0.0224, norm_resp_time: 0.022, silence: 0.0006, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 0.356017, reward: 0.7145, log_reward: -0.3389, success: 0.7145, entropy: 0.0532, brevity: 0.0215, norm_resp_time: 0.021, silence: 0.0005, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
