Loading hybrid parameters from /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_hybrid_scratch.pkl...
Dual cue→cortex weights B_cue_c ready (col 0 = timing, col 1 = Pavlovian/go).
Mixed batch: 100 STMT + 10 Pavlovian trials -> inputs (110, 1000, 2)
step 200, loss: 2.482124, reward: 0.1758, log_reward: -2.2331, success: 0.1758, entropy: 0.0561, brevity: 0.2296, norm_resp_time: 0.459, silence: 0.0005, tail: 0.0195, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 2.423357, reward: 0.1718, log_reward: -2.1764, success: 0.1718, entropy: 0.0618, brevity: 0.2251, norm_resp_time: 0.450, silence: 0.0006, tail: 0.0219, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 2.390206, reward: 0.1667, log_reward: -2.1424, success: 0.1667, entropy: 0.0525, brevity: 0.2304, norm_resp_time: 0.461, silence: 0.0006, tail: 0.0173, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 2.312457, reward: 0.1630, log_reward: -2.0663, success: 0.1630, entropy: 0.0508, brevity: 0.2300, norm_resp_time: 0.460, silence: 0.0006, tail: 0.0160, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 2.073948, reward: 0.1812, log_reward: -1.8314, success: 0.1812, entropy: 0.0412, brevity: 0.2317, norm_resp_time: 0.463, silence: 0.0007, tail: 0.0106, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 2.020114, reward: 0.1905, log_reward: -1.7770, success: 0.1905, entropy: 0.0411, brevity: 0.2322, norm_resp_time: 0.464, silence: 0.0007, tail: 0.0106, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 1.990659, reward: 0.1955, log_reward: -1.7448, success: 0.1955, entropy: 0.0406, brevity: 0.2350, norm_resp_time: 0.470, silence: 0.0007, tail: 0.0106, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 1.957128, reward: 0.2017, log_reward: -1.7130, success: 0.2017, entropy: 0.0424, brevity: 0.2326, norm_resp_time: 0.465, silence: 0.0007, tail: 0.0113, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 1.945526, reward: 0.2046, log_reward: -1.7000, success: 0.2046, entropy: 0.0425, brevity: 0.2339, norm_resp_time: 0.468, silence: 0.0006, tail: 0.0114, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 1.920208, reward: 0.2094, log_reward: -1.6719, success: 0.2094, entropy: 0.0423, brevity: 0.2366, norm_resp_time: 0.473, silence: 0.0006, tail: 0.0115, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 1.921041, reward: 0.2097, log_reward: -1.6753, success: 0.2097, entropy: 0.0437, brevity: 0.2335, norm_resp_time: 0.467, silence: 0.0006, tail: 0.0120, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
