[balanced_init] cortico-thalamic loop rho(M): 1.516 -> 1.107 (target 1.107, tau=7.0)
[supervised-thal] readout=thalamus  target 0.25->0.75 for 50 steps, opening 300 steps after cue onset
[supervised-thal] task=self-timed  inputs (100, 1000, 1)  loss=mse  iters=10000
step 200, loss: 0.011872, sup_loss: 0.011872, acc: 0.9500, in_window: 0.2734, off_window: 0.2732, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.011553, sup_loss: 0.011553, acc: 0.9500, in_window: 0.2814, off_window: 0.2737, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.009060, sup_loss: 0.009060, acc: 0.9500, in_window: 0.3846, off_window: 0.2738, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.006928, sup_loss: 0.006928, acc: 0.9573, in_window: 0.5252, off_window: 0.2658, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.003680, sup_loss: 0.003680, acc: 0.9799, in_window: 0.5885, off_window: 0.2574, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.002737, sup_loss: 0.002737, acc: 0.9853, in_window: 0.6289, off_window: 0.2558, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.011924, sup_loss: 0.011924, acc: 0.9500, in_window: 0.2686, off_window: 0.2688, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.011810, sup_loss: 0.011810, acc: 0.9500, in_window: 0.2764, off_window: 0.2750, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.011780, sup_loss: 0.011780, acc: 0.9500, in_window: 0.2770, off_window: 0.2750, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.011735, sup_loss: 0.011735, acc: 0.9500, in_window: 0.2780, off_window: 0.2750, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.011563, sup_loss: 0.011563, acc: 0.9500, in_window: 0.2829, off_window: 0.2754, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
