[balanced_init] cortico-thalamic loop rho(M): 1.516 -> 1.107 (target 1.107, tau=7.0)
[supervised-thal] readout=thalamus  target 0.25->0.75 for 50 steps, opening 300 steps after cue onset
[supervised-thal] task=self-timed  inputs (100, 1000, 1)  loss=mse  iters=10000
step 200, loss: 0.011886, sup_loss: 0.011886, acc: 0.9500, in_window: 0.2754, off_window: 0.2741, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.011659, sup_loss: 0.011659, acc: 0.9500, in_window: 0.2842, off_window: 0.2742, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.011640, sup_loss: 0.011640, acc: 0.9500, in_window: 0.2857, off_window: 0.2737, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.011607, sup_loss: 0.011607, acc: 0.9500, in_window: 0.2864, off_window: 0.2733, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.011602, sup_loss: 0.011602, acc: 0.9500, in_window: 0.2863, off_window: 0.2734, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.011586, sup_loss: 0.011586, acc: 0.9500, in_window: 0.2864, off_window: 0.2736, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.011564, sup_loss: 0.011564, acc: 0.9500, in_window: 0.2872, off_window: 0.2741, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.011574, sup_loss: 0.011574, acc: 0.9500, in_window: 0.2873, off_window: 0.2743, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.011551, sup_loss: 0.011551, acc: 0.9500, in_window: 0.2878, off_window: 0.2743, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.011535, sup_loss: 0.011535, acc: 0.9500, in_window: 0.2881, off_window: 0.2743, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.011446, sup_loss: 0.011446, acc: 0.9500, in_window: 0.2908, off_window: 0.2746, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2400, loss: 0.011378, sup_loss: 0.011378, acc: 0.9500, in_window: 0.2948, off_window: 0.2747, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2600, loss: 0.011264, sup_loss: 0.011264, acc: 0.9500, in_window: 0.2957, off_window: 0.2719, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2800, loss: 0.011204, sup_loss: 0.011204, acc: 0.9500, in_window: 0.2997, off_window: 0.2732, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3000, loss: 0.011250, sup_loss: 0.011250, acc: 0.9500, in_window: 0.3050, off_window: 0.2763, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3200, loss: 0.011334, sup_loss: 0.011334, acc: 0.9500, in_window: 0.3070, off_window: 0.2794, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3400, loss: 0.011215, sup_loss: 0.011215, acc: 0.9500, in_window: 0.3057, off_window: 0.2761, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3600, loss: 0.011187, sup_loss: 0.011187, acc: 0.9500, in_window: 0.3034, off_window: 0.2730, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3800, loss: 0.011094, sup_loss: 0.011094, acc: 0.9500, in_window: 0.3075, off_window: 0.2742, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4000, loss: 0.011263, sup_loss: 0.011263, acc: 0.9500, in_window: 0.3009, off_window: 0.2732, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4200, loss: 0.012330, sup_loss: 0.012330, acc: 0.9500, in_window: 0.2537, off_window: 0.2537, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4400, loss: 0.011875, sup_loss: 0.011875, acc: 0.9500, in_window: 0.2750, off_window: 0.2750, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4600, loss: 0.011875, sup_loss: 0.011875, acc: 0.9500, in_window: 0.2750, off_window: 0.2750, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
