[balanced_init] cortico-thalamic loop rho(M): 1.516 -> 1.107 (target 1.107, tau=7.0)
[supervised-thal] readout=thalamus  target 0.25->0.75 for 50 steps, opening 300 steps after cue onset
[supervised-thal] task=self-timed  inputs (100, 1000, 1)  loss=mse  iters=10000
step 200, loss: 0.011550, sup_loss: 0.011550, acc: 0.9500, in_window: 0.2878, off_window: 0.2746, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.011529, sup_loss: 0.011529, acc: 0.9500, in_window: 0.2889, off_window: 0.2744, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.011515, sup_loss: 0.011515, acc: 0.9500, in_window: 0.2893, off_window: 0.2744, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.011482, sup_loss: 0.011482, acc: 0.9500, in_window: 0.2898, off_window: 0.2741, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.011355, sup_loss: 0.011355, acc: 0.9500, in_window: 0.2902, off_window: 0.2691, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.002006, sup_loss: 0.002006, acc: 0.9897, in_window: 0.6697, off_window: 0.2556, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.001157, sup_loss: 0.001157, acc: 0.9949, in_window: 0.7149, off_window: 0.2524, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.001050, sup_loss: 0.001050, acc: 0.9962, in_window: 0.7171, off_window: 0.2522, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.001016, sup_loss: 0.001016, acc: 0.9963, in_window: 0.7220, off_window: 0.2522, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.000999, sup_loss: 0.000999, acc: 0.9964, in_window: 0.7182, off_window: 0.2521, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.000957, sup_loss: 0.000957, acc: 0.9968, in_window: 0.7233, off_window: 0.2520, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
